Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
245.0,Quenton Jackson,27.0,IND,PG,46.0,16.0,17.7,3.0,6.2,0.474,0.8,2.3,0.371,2.1,4.0,0.533,0.542,1.9,2.3,0.815,0.6,1.7,2.3,2.6,0.6,0.1,1.2,1.6,8.7,
246.0,Day'Ron Sharpe,24.0,BRK,C,62.0,7.0,18.7,3.5,5.7,0.601,0.1,0.6,0.231,3.3,5.1,0.647,0.614,1.7,2.5,0.678,2.8,3.9,6.7,2.3,1.1,0.4,1.7,2.4,8.7,
247.0,Vít Krejčí,25.0,2TM,PG,64.0,8.0,21.7,3.0,6.7,0.448,2.0,5.1,0.391,1.0,1.5,0.636,0.599,0.6,0.8,0.745,0.5,1.8,2.3,1.6,0.7,0.3,0.6,2.1,8.6,
247.0,Vít Krejčí,25.0,ATL,PG,46.0,8.0,22.3,3.1,6.7,0.464,2.2,5.2,0.423,0.9,1.5,0.609,0.628,0.6,0.8,0.75,0.4,1.7,2.1,1.5,0.8,0.3,0.7,2.3,9.0,
247.0,Vít Krejčí,25.0,POR,PG,18.0,0.0,19.9,2.7,6.6,0.407,1.5,4.9,0.307,1.2,1.7,0.7,0.521,0.6,0.8,0.733,0.7,2.2,2.8,1.8,0.6,0.3,0.6,1.6,7.4,
248.0,Justin Champagnie,24.0,WAS,SF,67.0,18.0,19.8,3.3,6.5,0.508,0.7,2.3,0.322,2.6,4.3,0.607,0.564,1.2,1.5,0.784,2.1,3.4,5.5,1.2,0.8,0.6,0.6,1.6,8.6,
249.0,Cason Wallace,22.0,OKC,SG,76.0,58.0,26.6,3.3,7.6,0.434,1.3,3.7,0.353,2.0,3.9,0.512,0.521,0.7,0.9,0.809,0.8,2.3,3.1,2.6,2.0,0.4,0.9,2.0,8.6,
250.0,Cody Williams,21.0,UTA,SG,65.0,39.0,24.0,3.5,7.4,0.475,0.4,1.9,0.211,3.1,5.5,0.566,0.502,1.2,1.7,0.708,0.9,2.0,3.0,1.9,0.8,0.4,1.1,1.8,8.6,
251.0,Jaden Ivey,23.0,2TM,SG,37.0,5.0,18.1,3.1,6.9,0.445,1.4,3.6,0.373,1.7,3.3,0.525,0.543,1.0,1.3,0.809,0.6,1.8,2.5,1.8,0.6,0.4,1.1,1.4,8.5,
251.0,Jaden Ivey,23.0,DET,SG,33.0,2.0,16.8,3.0,6.7,0.45,1.3,3.4,0.372,1.7,3.2,0.533,0.545,0.9,1.2,0.789,0.6,1.6,2.2,1.6,0.5,0.4,1.1,1.3,8.2,
251.0,Jaden Ivey,23.0,CHI,SG,4.0,3.0,28.8,3.8,9.0,0.417,2.0,5.3,0.381,1.8,3.8,0.467,0.528,2.0,2.3,0.889,1.3,3.5,4.8,4.0,2.0,0.5,1.5,2.3,11.5,
252.0,Luguentz Dort,26.0,OKC,SF,66.0,66.0,27.1,3.0,7.7,0.387,1.9,5.4,0.343,1.1,2.2,0.493,0.508,0.7,0.9,0.759,0.8,2.8,3.6,1.3,0.9,0.4,0.8,2.7,8.5,
253.0,Draymond Green,35.0,GSW,PF,66.0,66.0,27.6,3.1,7.4,0.417,1.5,4.7,0.326,1.6,2.7,0.572,0.52,0.8,1.2,0.688,0.8,4.8,5.5,5.5,0.9,0.6,2.6,2.9,8.5,
254.0,Bones Hyland,25.0,MIN,PG,70.0,3.0,16.5,3.0,6.6,0.454,1.6,4.2,0.387,1.4,2.4,0.571,0.577,0.9,1.2,0.78,0.3,1.5,1.8,2.7,0.6,0.2,0.9,1.7,8.5,
255.0,Collin Murray-Boyles,20.0,TOR,PF,55.0,22.0,22.0,3.5,6.1,0.57,0.3,0.9,0.34,3.2,5.2,0.611,0.596,1.2,1.9,0.641,2.4,2.6,5.0,1.9,0.9,0.9,1.1,2.5,8.5,
256.0,Kentavious Caldwell-Pope,32.0,MEM,SG,51.0,14.0,21.3,2.9,7.2,0.41,1.1,3.4,0.316,1.9,3.8,0.495,0.485,1.4,1.6,0.913,0.4,2.1,2.5,2.7,0.8,0.2,1.2,1.1,8.4,
257.0,Devin Carter,23.0,SAC,PG,36.0,10.0,17.5,3.0,7.2,0.412,0.7,2.8,0.24,2.3,4.4,0.519,0.458,1.8,2.4,0.753,0.8,2.3,3.1,2.5,0.8,0.2,1.3,1.3,8.4,
258.0,Jared McCain,21.0,2TM,SG,64.0,1.0,17.3,3.0,7.1,0.424,1.5,3.8,0.393,1.5,3.3,0.459,0.53,0.8,0.9,0.877,0.3,1.7,2.1,1.3,0.5,0.1,0.8,1.3,8.3,
258.0,Jared McCain,21.0,PHI,SG,37.0,1.0,16.8,2.4,6.2,0.385,1.2,3.2,0.378,1.2,3.0,0.393,0.483,0.6,0.7,0.88,0.2,1.9,2.0,1.7,0.6,0.1,0.8,1.2,6.6,
258.0,Jared McCain,21.0,OKC,SG,27.0,0.0,18.0,3.8,8.2,0.464,1.9,4.6,0.408,1.9,3.6,0.536,0.579,1.0,1.2,0.875,0.6,1.5,2.1,0.9,0.4,0.1,0.8,1.4,10.6,
259.0,Simone Fontecchio,30.0,MIA,SF,69.0,8.0,16.6,2.7,6.7,0.403,1.7,4.6,0.366,1.0,2.0,0.489,0.53,1.2,1.4,0.84,0.8,2.2,3.0,1.4,0.5,0.1,0.7,1.5,8.3,
260.0,Al Horford,39.0,GSW,C,43.0,12.0,21.7,3.1,7.2,0.424,1.7,4.6,0.36,1.4,2.7,0.535,0.539,0.5,0.6,0.846,1.0,4.0,5.0,2.6,0.7,1.2,1.0,1.2,8.3,
261.0,Jake LaRavia,24.0,LAL,PF,79.0,41.0,25.0,2.9,6.5,0.453,0.9,3.0,0.312,2.0,3.5,0.575,0.525,1.5,1.9,0.763,1.4,2.5,3.9,1.7,1.2,0.5,1.1,2.4,8.3,
262.0,Taurean Prince,31.0,MIL,SF,23.0,4.0,22.5,3.0,6.7,0.455,2.0,4.8,0.423,1.0,1.9,0.535,0.607,0.2,0.2,1.0,0.2,2.6,2.8,1.6,0.6,0.2,1.1,2.0,8.3,
263.0,Kadary Richmond,24.0,WAS,SG,3.0,0.0,22.3,3.3,5.3,0.625,0.7,1.3,0.5,2.7,4.0,0.667,0.688,1.0,1.0,1.0,0.3,3.0,3.3,2.7,2.7,0.3,0.7,0.7,8.3,
264.0,Jonas Valančiūnas,33.0,DEN,C,62.0,5.0,13.0,3.3,5.7,0.576,0.1,0.4,0.318,3.2,5.4,0.593,0.586,1.6,2.1,0.767,1.5,3.3,4.8,1.1,0.2,0.5,1.1,2.0,8.3,
265.0,Luke Kennard,29.0,2TM,SG,75.0,3.0,21.5,3.0,5.6,0.532,1.5,3.2,0.477,1.5,2.4,0.606,0.668,0.7,0.8,0.918,0.4,2.0,2.4,2.2,0.6,0.1,0.8,1.3,8.2,
265.0,Luke Kennard,29.0,ATL,SG,46.0,0.0,20.5,2.8,5.2,0.538,1.6,3.2,0.497,1.2,2.0,0.604,0.692,0.7,0.8,0.914,0.4,1.7,2.2,2.1,0.7,0.1,0.7,1.2,7.9,
